0,1,2,3,4
Fecha,Día,Min,Máx,Precio
22/06,Martes,98,112,105
23/06,Miércoles,99,113,106
24/06,Jueves,97,111,104
25/06,Viernes,90,104,97
28/06,Lunes,90,104,97
29/06,Martes,86,98,92
30/06,Miércoles,84,96,90
1/07,Jueves,88,102,95
2/07,Viernes,93,107,100
5/07,Lunes,92,106,99
6/07,Martes,89,103,96
7/07,Miércoles,87,101,94
8/07,Jueves,94,108,101
9/07,Viernes,93,107,100
12/07,Lunes,86,98,92
13/07,Martes,87,101,94
14/07,Miércoles,85,97,91
15/07,Jueves,78,90,84
16/07,Viernes,81,93,87
19/07,Lunes,83,95,89
20/07,Martes,81,93,87
21/07,Miércoles,89,103,96
22/07,Jueves,93,107,100
23/07,Viernes,86,98,92
