0,1,2,3,4
Fecha,Día,Min,Máx,Precio
29/09,Miércoles,126,146,136
30/09,Jueves,122,140,131
1/10,Viernes,122,140,131
4/10,Lunes,121,139,130
5/10,Martes,113,129,121
6/10,Miércoles,114,132,123
7/10,Jueves,125,143,134
8/10,Viernes,118,136,127
11/10,Lunes,105,121,113
12/10,Martes,101,117,109
13/10,Miércoles,102,118,110
14/10,Jueves,100,114,107
15/10,Viernes,98,112,105
18/10,Lunes,101,117,109
19/10,Martes,103,119,111
20/10,Miércoles,101,117,109
21/10,Jueves,104,120,112
22/10,Viernes,107,123,115
25/10,Lunes,103,119,111
26/10,Martes,103,119,111
27/10,Miércoles,104,120,112
28/10,Jueves,87,101,94
29/10,Viernes,83,95,89
1/11,Lunes,91,105,98
