0,1,2,3,4
Fecha,Día,Min,Máx,Precio
16/08,Lunes,169,195,182
17/08,Martes,188,216,202
18/08,Miércoles,181,209,195
19/08,Jueves,187,215,201
20/08,Viernes,186,214,200
23/08,Lunes,206,238,222
24/08,Martes,198,228,213
25/08,Miércoles,209,241,225
26/08,Jueves,216,248,232
27/08,Viernes,218,250,234
30/08,Lunes,224,258,241
31/08,Martes,219,253,236
1/09,Miércoles,221,255,238
2/09,Jueves,216,248,232
3/09,Viernes,214,246,230
6/09,Lunes,220,254,237
7/09,Martes,222,256,239
8/09,Miércoles,232,266,249
9/09,Jueves,238,274,256
10/09,Viernes,245,281,263
13/09,Lunes,247,285,266
14/09,Martes,251,289,270
15/09,Miércoles,259,297,278
16/09,Jueves,265,305,285
