0,1,2,3,4
Fecha,Día,Min,Máx,Precio
22/07,Jueves,120,138,129
23/07,Viernes,113,131,122
26/07,Lunes,108,124,116
27/07,Martes,107,123,115
28/07,Miércoles,106,122,114
29/07,Jueves,101,117,109
30/07,Viernes,98,112,105
2/08,Lunes,98,112,105
3/08,Martes,96,110,103
4/08,Miércoles,95,109,102
5/08,Jueves,95,109,102
6/08,Viernes,95,109,102
9/08,Lunes,97,111,104
10/08,Martes,93,107,100
11/08,Miércoles,92,106,99
12/08,Jueves,93,107,100
13/08,Viernes,88,102,95
16/08,Lunes,91,105,98
17/08,Martes,93,107,100
18/08,Miércoles,93,107,100
19/08,Jueves,88,102,95
20/08,Viernes,88,102,95
23/08,Lunes,92,106,99
24/08,Martes,96,110,103
