0,1,2,3,4
Fecha,Día,Min,Máx,Precio
6/08,Viernes,135,155,145
9/08,Lunes,139,159,149
10/08,Martes,136,156,146
11/08,Miércoles,137,157,147
12/08,Jueves,133,153,143
13/08,Viernes,131,151,141
16/08,Lunes,135,155,145
17/08,Martes,136,156,146
18/08,Miércoles,141,163,152
19/08,Jueves,145,167,156
20/08,Viernes,149,171,160
23/08,Lunes,151,173,162
24/08,Martes,153,175,164
25/08,Miércoles,157,181,169
26/08,Jueves,162,186,174
27/08,Viernes,178,204,191
30/08,Lunes,168,194,181
31/08,Martes,160,184,172
1/09,Miércoles,159,183,171
2/09,Jueves,158,182,170
3/09,Viernes,152,174,163
6/09,Lunes,145,167,156
7/09,Martes,144,166,155
8/09,Miércoles,142,164,153
