0,1,2,3,4
Fecha,Día,Min,Máx,Precio
11/05,Martes,310,356,333
12/05,Miércoles,346,398,372
13/05,Jueves,348,400,374
14/05,Viernes,339,391,365
17/05,Lunes,338,388,363
18/05,Martes,392,450,421
19/05,Miércoles,405,467,436
20/05,Jueves,445,511,478
21/05,Viernes,432,498,465
24/05,Lunes,441,507,474
25/05,Martes,469,539,504
26/05,Miércoles,463,533,498
27/05,Jueves,461,531,496
28/05,Viernes,485,557,521
31/05,Lunes,536,616,576
1/06,Martes,533,613,573
2/06,Miércoles,497,571,534
3/06,Jueves,474,546,510
4/06,Viernes,465,535,500
7/06,Lunes,459,529,494
8/06,Martes,458,528,493
9/06,Miércoles,437,503,470
10/06,Jueves,398,458,428
11/06,Viernes,388,446,417
