0,1,2,3,4
Fecha,Día,Min,Máx,Precio
21/09,Martes,130,150,140
22/09,Miércoles,126,146,136
23/09,Jueves,127,147,137
24/09,Viernes,124,142,133
27/09,Lunes,121,139,130
28/09,Martes,125,143,134
29/09,Miércoles,127,147,137
30/09,Jueves,125,143,134
1/10,Viernes,127,147,137
4/10,Lunes,130,150,140
5/10,Martes,126,144,135
6/10,Miércoles,126,146,136
7/10,Jueves,127,147,137
8/10,Viernes,107,123,115
11/10,Lunes,101,117,109
12/10,Martes,112,128,120
13/10,Miércoles,111,127,119
14/10,Jueves,128,148,138
15/10,Viernes,130,150,140
18/10,Lunes,138,158,148
19/10,Martes,141,163,152
20/10,Miércoles,136,156,146
21/10,Jueves,135,155,145
22/10,Viernes,134,154,144
