0,1,2,3,4
Fecha,Día,Min,Máx,Precio
27/04,Martes,207,239,223
28/04,Miércoles,193,223,208
29/04,Jueves,185,213,199
30/04,Viernes,181,209,195
3/05,Lunes,179,207,193
4/05,Martes,179,207,193
5/05,Miércoles,171,197,184
6/05,Jueves,155,179,167
7/05,Viernes,152,174,163
10/05,Lunes,164,188,176
11/05,Martes,168,194,181
12/05,Miércoles,176,202,189
13/05,Jueves,193,221,207
14/05,Viernes,187,215,201
17/05,Lunes,184,212,198
18/05,Martes,213,245,229
19/05,Miércoles,208,240,224
20/05,Jueves,215,247,231
21/05,Viernes,199,229,214
24/05,Lunes,213,245,229
25/05,Martes,233,269,251
26/05,Miércoles,242,278,260
27/05,Jueves,223,257,240
28/05,Viernes,233,269,251
