0,1,2,3,4
Fecha,Día,Min,Máx,Precio
1/06,Martes,193,221,207
2/06,Miércoles,201,231,216
3/06,Jueves,185,213,199
4/06,Viernes,169,195,182
7/06,Lunes,165,189,177
8/06,Martes,179,205,192
9/06,Miércoles,178,204,191
10/06,Jueves,206,238,222
11/06,Viernes,174,200,187
14/06,Lunes,164,188,176
15/06,Martes,140,162,151
16/06,Miércoles,159,183,171
17/06,Jueves,134,154,144
18/06,Viernes,140,162,151
21/06,Lunes,133,153,143
22/06,Martes,132,152,142
23/06,Miércoles,121,139,130
24/06,Jueves,125,143,134
25/06,Viernes,128,148,138
28/06,Lunes,108,124,116
29/06,Martes,113,131,122
30/06,Miércoles,105,121,113
1/07,Jueves,117,135,126
2/07,Viernes,118,136,127
