0,1,2,3,4
Fecha,Día,Min,Máx,Precio
19/04,Lunes,273,315,294
20/04,Martes,295,339,317
21/04,Miércoles,302,348,325
22/04,Jueves,315,363,339
23/04,Viernes,345,397,371
26/04,Lunes,335,385,360
27/04,Martes,330,380,355
28/04,Miércoles,382,440,411
29/04,Jueves,374,430,402
30/04,Viernes,386,444,415
3/05,Lunes,357,411,384
4/05,Martes,382,440,411
5/05,Miércoles,419,482,450
6/05,Jueves,433,499,466
7/05,Viernes,400,460,430
10/05,Lunes,418,480,449
11/05,Martes,430,494,462
12/05,Miércoles,432,496,464
13/05,Jueves,436,502,469
14/05,Viernes,458,528,493
17/05,Lunes,458,528,493
18/05,Martes,459,529,494
19/05,Miércoles,491,565,528
20/05,Jueves,478,550,514
