0,1,2,3,4
Fecha,Día,Min,Máx,Precio
13/05,Jueves,369,425,397
14/05,Viernes,342,394,368
17/05,Lunes,382,440,411
18/05,Martes,384,442,413
19/05,Miércoles,375,431,403
20/05,Jueves,373,429,401
21/05,Viernes,432,498,465
24/05,Lunes,448,516,482
25/05,Martes,491,565,528
26/05,Miércoles,477,549,513
27/05,Jueves,486,560,523
28/05,Viernes,517,595,556
31/05,Lunes,511,587,549
1/06,Martes,508,584,546
2/06,Miércoles,533,613,573
3/06,Jueves,589,677,633
4/06,Viernes,585,673,629
7/06,Lunes,545,627,586
8/06,Martes,521,599,560
9/06,Miércoles,511,587,549
10/06,Jueves,504,580,542
11/06,Viernes,503,579,541
14/06,Lunes,480,552,516
15/06,Martes,437,503,470
