0,1,2,3,4
Fecha,Día,Min,Máx,Precio
14/09,Martes,175,201,188
15/09,Miércoles,179,207,193
16/09,Jueves,173,199,186
17/09,Viernes,174,200,187
20/09,Lunes,176,202,189
21/09,Martes,148,170,159
22/09,Miércoles,140,161,150
23/09,Jueves,153,175,164
24/09,Viernes,152,174,163
27/09,Lunes,176,202,189
28/09,Martes,179,205,192
29/09,Miércoles,188,216,202
30/09,Jueves,193,221,207
1/10,Viernes,185,213,199
4/10,Lunes,184,212,198
5/10,Martes,183,211,197
6/10,Miércoles,193,221,207
7/10,Jueves,181,209,195
8/10,Viernes,186,214,200
11/10,Lunes,173,199,186
12/10,Martes,174,200,187
13/10,Miércoles,179,207,193
14/10,Jueves,176,202,189
15/10,Viernes,184,212,198
