0,1,2,3,4
Fecha,Día,Min,Máx,Precio
29/06,Martes,133,153,143
30/06,Miércoles,140,161,150
1/07,Jueves,141,163,152
2/07,Viernes,131,151,141
5/07,Lunes,137,157,147
6/07,Martes,148,170,159
7/07,Miércoles,141,163,152
8/07,Jueves,119,137,128
9/07,Viernes,121,139,130
12/07,Lunes,118,136,127
13/07,Martes,111,127,119
14/07,Miércoles,111,127,119
15/07,Jueves,105,121,113
16/07,Viernes,102,118,110
19/07,Lunes,108,124,116
20/07,Martes,114,132,123
21/07,Miércoles,113,131,122
22/07,Jueves,110,126,118
23/07,Viernes,107,123,115
26/07,Lunes,114,132,123
27/07,Martes,113,131,122
28/07,Miércoles,104,120,112
29/07,Jueves,106,122,114
30/07,Viernes,102,118,110
