0,1,2,3,4
Fecha,Día,Min,Máx,Precio
17/05,Lunes,272,314,293
18/05,Martes,250,288,269
19/05,Miércoles,257,295,276
20/05,Jueves,264,304,284
21/05,Viernes,222,256,239
24/05,Lunes,233,269,251
25/05,Martes,216,248,232
26/05,Miércoles,241,277,259
27/05,Jueves,243,279,261
28/05,Viernes,236,272,254
31/05,Lunes,235,271,253
1/06,Martes,272,314,293
2/06,Miércoles,283,325,304
3/06,Jueves,310,356,333
4/06,Viernes,301,347,324
7/06,Lunes,307,353,330
8/06,Martes,326,376,351
9/06,Miércoles,323,371,347
10/06,Jueves,321,369,345
11/06,Viernes,337,387,362
14/06,Lunes,372,428,400
15/06,Martes,370,426,398
16/06,Miércoles,345,397,371
17/06,Jueves,330,380,355
