0,1,2,3,4
Fecha,Día,Min,Máx,Precio
15/06,Martes,168,194,181
16/06,Miércoles,167,193,180
17/06,Jueves,162,186,174
18/06,Viernes,158,182,170
21/06,Lunes,169,195,182
22/06,Martes,168,194,181
23/06,Miércoles,154,178,166
24/06,Jueves,157,181,169
25/06,Viernes,153,175,164
28/06,Lunes,141,163,152
29/06,Martes,146,168,157
30/06,Miércoles,150,172,161
1/07,Jueves,146,168,157
2/07,Viernes,161,185,173
5/07,Lunes,167,193,180
6/07,Martes,154,178,166
7/07,Miércoles,141,163,152
8/07,Jueves,138,158,148
9/07,Viernes,149,171,160
12/07,Lunes,148,170,159
13/07,Martes,171,197,184
14/07,Miércoles,144,166,155
15/07,Jueves,136,156,146
16/07,Viernes,116,134,125
