0,1,2,3,4
Fecha,Día,Min,Máx,Precio
29/06,Martes,129,149,139
30/06,Miércoles,131,151,141
1/07,Jueves,122,140,131
2/07,Viernes,126,146,136
5/07,Lunes,137,157,147
6/07,Martes,131,151,141
7/07,Miércoles,110,126,118
8/07,Jueves,112,128,120
9/07,Viernes,109,125,117
12/07,Lunes,102,118,110
13/07,Martes,102,118,110
14/07,Miércoles,97,111,104
15/07,Jueves,94,108,101
16/07,Viernes,99,113,106
19/07,Lunes,104,120,112
20/07,Martes,103,119,111
21/07,Miércoles,100,116,108
22/07,Jueves,98,112,105
23/07,Viernes,105,121,113
26/07,Lunes,104,120,112
27/07,Martes,96,110,103
28/07,Miércoles,98,112,105
29/07,Jueves,95,109,102
30/07,Viernes,87,101,94
