0,1,2,3,4
Fecha,Día,Min,Máx,Precio
26/05,Miércoles,813,935,874
27/05,Jueves,714,822,768
28/05,Viernes,654,752,703
31/05,Lunes,550,632,591
1/06,Martes,638,734,686
2/06,Miércoles,536,616,576
3/06,Jueves,547,629,588
4/06,Viernes,500,576,538
7/06,Lunes,500,576,538
8/06,Martes,450,518,484
9/06,Miércoles,466,536,501
10/06,Jueves,473,545,509
11/06,Viernes,398,458,428
14/06,Lunes,461,531,496
15/06,Martes,427,491,459
16/06,Miércoles,435,501,468
17/06,Jueves,454,522,488
18/06,Viernes,404,464,434
21/06,Lunes,419,482,450
22/06,Martes,485,559,522
23/06,Miércoles,455,523,489
24/06,Jueves,474,546,510
25/06,Viernes,458,528,493
28/06,Lunes,463,533,498
