0,1,2,3,4
Fecha,Día,Min,Máx,Precio
6/05,Jueves,962,1106,1034
7/05,Viernes,1003,1155,1079
10/05,Lunes,971,1117,1044
11/05,Martes,981,1129,1055
12/05,Miércoles,1109,1277,1193
13/05,Jueves,1073,1235,1154
14/05,Viernes,1097,1263,1180
17/05,Lunes,1151,1325,1238
18/05,Martes,1288,1482,1385
19/05,Miércoles,1266,1456,1361
20/05,Jueves,1163,1339,1251
21/05,Viernes,1144,1316,1230
24/05,Lunes,1073,1235,1154
25/05,Martes,1037,1193,1115
26/05,Miércoles,1096,1260,1178
27/05,Jueves,1003,1155,1079
28/05,Viernes,986,1134,1060
31/05,Lunes,884,1017,950
1/06,Martes,1025,1179,1102
2/06,Miércoles,1090,1254,1172
3/06,Jueves,1190,1370,1280
4/06,Viernes,1324,1524,1424
7/06,Lunes,1288,1482,1385
8/06,Martes,1322,1520,1421
