0,1,2,3,4
Fecha,Día,Min,Máx,Precio
6/05,Jueves,1095,1259,1177
7/05,Viernes,1142,1314,1228
10/05,Lunes,1105,1271,1188
11/05,Martes,1117,1285,1201
12/05,Miércoles,1263,1453,1358
13/05,Jueves,1222,1406,1314
14/05,Viernes,1249,1437,1343
17/05,Lunes,1310,1508,1409
18/05,Martes,1466,1686,1576
19/05,Miércoles,1441,1657,1549
20/05,Jueves,1324,1524,1424
21/05,Viernes,1302,1498,1400
24/05,Lunes,1222,1406,1314
25/05,Martes,1181,1359,1270
26/05,Miércoles,1248,1436,1342
27/05,Jueves,1143,1315,1229
28/05,Viernes,1123,1293,1208
31/05,Lunes,1007,1159,1083
1/06,Martes,1168,1344,1256
2/06,Miércoles,1242,1430,1336
3/06,Jueves,1357,1561,1459
4/06,Viernes,1509,1737,1623
7/06,Lunes,1468,1690,1579
8/06,Martes,1507,1733,1620
