0,1,2,3,4
Fecha,Día,Min,Máx,Precio
6/07,Martes,450,518,484
7/07,Miércoles,470,540,505
8/07,Jueves,478,550,514
9/07,Viernes,477,549,513
12/07,Lunes,451,519,485
13/07,Martes,454,522,488
14/07,Miércoles,473,545,509
15/07,Jueves,497,571,534
16/07,Viernes,516,594,555
19/07,Lunes,528,608,568
20/07,Martes,488,562,525
21/07,Miércoles,503,579,541
22/07,Jueves,536,616,576
23/07,Viernes,521,599,560
26/07,Lunes,437,503,470
27/07,Martes,440,506,473
28/07,Miércoles,432,496,464
29/07,Jueves,405,467,436
30/07,Viernes,409,471,440
2/08,Lunes,387,445,416
3/08,Martes,379,435,407
4/08,Miércoles,395,455,425
5/08,Jueves,419,482,450
6/08,Viernes,420,484,452
