0,1,2,3,4
Fecha,Día,Min,Máx,Precio
26/08,Jueves,618,710,664
27/08,Viernes,580,668,624
30/08,Lunes,586,674,630
31/08,Martes,582,670,626
1/09,Miércoles,567,653,610
2/09,Jueves,596,686,641
3/09,Viernes,622,716,669
6/09,Lunes,616,708,662
7/09,Martes,583,671,627
8/09,Miércoles,558,642,600
9/09,Jueves,567,653,610
10/09,Viernes,600,690,645
13/09,Lunes,648,746,697
14/09,Martes,631,727,679
15/09,Miércoles,662,762,712
16/09,Jueves,663,763,713
17/09,Viernes,706,812,759
20/09,Lunes,671,773,722
21/09,Martes,704,810,757
22/09,Miércoles,714,822,768
23/09,Jueves,719,827,773
24/09,Viernes,728,838,783
27/09,Lunes,722,830,776
28/09,Martes,745,857,801
