0,1,2,3,4
Fecha,Día,Min,Máx,Precio
8/06,Martes,618,710,664
9/06,Miércoles,597,687,642
10/06,Jueves,558,642,600
11/06,Viernes,575,661,618
14/06,Lunes,580,668,624
15/06,Martes,570,656,613
16/06,Miércoles,605,697,651
17/06,Jueves,616,708,662
18/06,Viernes,582,670,626
21/06,Lunes,535,615,575
22/06,Martes,525,603,564
23/06,Miércoles,558,642,600
24/06,Jueves,532,612,572
25/06,Viernes,618,710,664
28/06,Lunes,542,624,583
29/06,Martes,497,571,534
30/06,Miércoles,418,480,449
1/07,Jueves,485,557,521
2/07,Viernes,407,469,438
5/07,Lunes,416,478,447
6/07,Martes,380,438,409
7/07,Miércoles,380,438,409
8/07,Jueves,342,394,368
9/07,Viernes,354,408,381
