0,1,2,3,4
Fecha,Día,Min,Máx,Precio
9/09,Jueves,607,699,653
10/09,Viernes,520,598,559
13/09,Lunes,534,614,574
14/09,Martes,576,662,619
15/09,Miércoles,572,658,615
16/09,Jueves,614,706,660
17/09,Viernes,622,716,669
20/09,Lunes,641,737,689
21/09,Martes,645,743,694
22/09,Miércoles,619,713,666
23/09,Jueves,631,727,679
24/09,Viernes,642,738,690
27/09,Lunes,673,775,724
28/09,Martes,628,722,675
29/09,Miércoles,641,737,689
30/09,Jueves,603,693,648
1/10,Viernes,608,700,654
4/10,Lunes,605,696,650
5/10,Martes,589,677,633
6/10,Miércoles,619,713,666
7/10,Jueves,646,744,695
8/10,Viernes,640,736,688
11/10,Lunes,606,698,652
12/10,Martes,580,668,624
