0,1,2,3,4
Fecha,Día,Min,Máx,Precio
15/06,Martes,605,696,650
16/06,Miércoles,607,699,653
17/06,Jueves,582,670,626
18/06,Viernes,553,637,595
21/06,Lunes,588,676,632
22/06,Martes,588,676,632
23/06,Miércoles,534,614,574
24/06,Jueves,539,621,580
25/06,Viernes,522,600,561
28/06,Lunes,487,561,524
29/06,Martes,501,577,539
30/06,Miércoles,506,582,544
1/07,Jueves,498,572,535
2/07,Viernes,528,608,568
5/07,Lunes,537,617,577
6/07,Martes,508,584,546
7/07,Miércoles,467,537,502
8/07,Jueves,458,526,492
9/07,Viernes,486,560,523
12/07,Lunes,464,534,499
13/07,Martes,538,620,579
14/07,Miércoles,473,545,509
15/07,Jueves,433,499,466
16/07,Viernes,365,419,392
