0,1,2,3,4
Fecha,Día,Min,Máx,Precio
25/10,Lunes,590,678,634
26/10,Martes,590,678,634
27/10,Miércoles,570,656,613
28/10,Jueves,594,684,639
29/10,Viernes,601,691,646
1/11,Lunes,601,691,646
2/11,Martes,589,677,633
3/11,Miércoles,589,677,633
4/11,Jueves,615,707,661
5/11,Viernes,620,714,667
8/11,Lunes,627,721,674
9/11,Martes,612,704,658
10/11,Miércoles,629,723,676
11/11,Jueves,599,689,644
12/11,Viernes,618,710,664
15/11,Lunes,602,692,647
16/11,Martes,596,686,641
17/11,Miércoles,618,712,665
18/11,Jueves,668,768,718
19/11,Viernes,644,740,692
22/11,Lunes,666,766,716
23/11,Martes,677,779,728
24/11,Miércoles,732,842,787
25/11,Jueves,759,873,816
