0,1,2,3,4
Fecha,Día,Min,Máx,Precio
5/07,Lunes,460,530,495
6/07,Martes,435,501,468
7/07,Miércoles,438,504,471
8/07,Jueves,457,525,491
9/07,Viernes,479,551,515
12/07,Lunes,498,572,535
13/07,Martes,509,585,547
14/07,Miércoles,470,540,505
15/07,Jueves,484,556,520
16/07,Viernes,515,593,554
19/07,Lunes,500,576,538
20/07,Martes,420,484,452
21/07,Miércoles,423,487,455
22/07,Jueves,416,478,447
23/07,Viernes,391,449,420
26/07,Lunes,394,454,424
27/07,Martes,373,429,401
28/07,Miércoles,365,419,392
29/07,Jueves,381,439,410
30/07,Viernes,404,464,434
2/08,Lunes,405,467,436
3/08,Martes,389,447,418
4/08,Miércoles,369,425,397
5/08,Jueves,392,452,422
