0,1,2,3,4
Fecha,Día,Min,Máx,Precio
26/05,Miércoles,638,734,686
27/05,Jueves,740,852,796
28/05,Viernes,650,748,699
31/05,Lunes,595,685,640
1/06,Martes,500,576,538
2/06,Miércoles,580,668,624
3/06,Jueves,487,561,524
4/06,Viernes,498,572,535
7/06,Lunes,455,523,489
8/06,Martes,455,523,489
9/06,Miércoles,409,471,440
10/06,Jueves,424,488,456
11/06,Viernes,432,496,464
14/06,Lunes,363,417,390
15/06,Martes,420,484,452
16/06,Miércoles,389,447,418
17/06,Jueves,396,456,426
18/06,Viernes,413,475,444
21/06,Lunes,367,423,395
22/06,Martes,381,439,410
23/06,Miércoles,443,509,476
24/06,Jueves,415,477,446
25/06,Viernes,432,498,465
28/06,Lunes,419,482,450
