0,1,2,3,4
Fecha,Día,Min,Máx,Precio
3/05,Lunes,792,912,852
4/05,Martes,810,932,871
5/05,Miércoles,850,978,914
6/05,Jueves,950,1094,1022
7/05,Viernes,935,1075,1005
10/05,Lunes,859,989,924
11/05,Martes,845,973,909
12/05,Miércoles,793,913,853
13/05,Jueves,766,882,824
14/05,Viernes,809,931,870
17/05,Lunes,741,853,797
18/05,Martes,728,838,783
19/05,Miércoles,653,751,702
20/05,Jueves,757,871,814
21/05,Viernes,805,927,866
24/05,Lunes,880,1012,946
25/05,Martes,978,1126,1052
26/05,Miércoles,951,1095,1023
27/05,Jueves,977,1124,1050
28/05,Viernes,1040,1196,1118
31/05,Lunes,1020,1174,1097
1/06,Martes,1066,1226,1146
2/06,Miércoles,992,1142,1067
3/06,Jueves,1016,1168,1092
