0,1,2,3,4
Fecha,Día,Min,Máx,Precio
16/06,Miércoles,623,717,670
17/06,Jueves,659,759,709
18/06,Viernes,663,763,713
21/06,Lunes,636,732,684
22/06,Martes,605,696,650
23/06,Miércoles,643,739,691
24/06,Jueves,643,739,691
25/06,Viernes,584,672,628
28/06,Lunes,591,679,635
29/06,Martes,571,657,614
30/06,Miércoles,534,614,574
1/07,Jueves,550,632,591
2/07,Viernes,555,639,597
5/07,Lunes,546,628,587
6/07,Martes,579,667,623
7/07,Miércoles,589,677,633
8/07,Jueves,556,640,598
9/07,Viernes,512,589,550
12/07,Lunes,501,577,539
13/07,Martes,533,613,573
14/07,Miércoles,509,585,547
15/07,Jueves,591,679,635
16/07,Viernes,519,597,558
19/07,Lunes,475,547,511
