0,1,2,3,4
Fecha,Día,Min,Máx,Precio
1/06,Martes,626,720,673
2/06,Miércoles,591,681,636
3/06,Jueves,544,626,585
4/06,Viernes,534,614,574
7/06,Lunes,567,653,610
8/06,Martes,541,623,582
9/06,Miércoles,628,722,675
10/06,Jueves,551,635,593
11/06,Viernes,505,581,543
14/06,Lunes,425,489,457
15/06,Martes,493,567,530
16/06,Miércoles,414,476,445
17/06,Jueves,422,486,454
18/06,Viernes,386,444,415
21/06,Lunes,386,444,415
22/06,Martes,348,400,374
23/06,Miércoles,360,414,387
24/06,Jueves,365,421,393
25/06,Viernes,307,353,330
28/06,Lunes,356,410,383
29/06,Martes,329,379,354
30/06,Miércoles,336,386,361
1/07,Jueves,351,403,377
2/07,Viernes,312,358,335
