0,1,2,3,4
Fecha,Día,Min,Máx,Precio
29/07,Jueves,484,556,520
30/07,Viernes,504,580,542
2/08,Lunes,534,614,574
3/08,Martes,529,609,569
4/08,Miércoles,534,614,574
5/08,Jueves,550,632,591
6/08,Viernes,565,649,607
9/08,Lunes,609,701,655
10/08,Martes,586,674,630
11/08,Miércoles,554,638,596
12/08,Jueves,557,641,599
13/08,Viernes,555,639,597
16/08,Lunes,534,614,574
17/08,Martes,521,599,560
18/08,Miércoles,523,601,562
19/08,Jueves,507,583,545
20/08,Viernes,488,562,525
23/08,Lunes,489,563,526
24/08,Martes,483,555,519
25/08,Miércoles,497,571,534
26/08,Jueves,478,550,514
27/08,Viernes,475,547,511
30/08,Lunes,482,554,518
31/08,Martes,461,531,496
