0,1,2,3,4
Fecha,Día,Min,Máx,Precio
10/05,Lunes,1355,1559,1457
11/05,Martes,1414,1626,1520
12/05,Miércoles,1257,1447,1352
13/05,Jueves,1304,1500,1402
14/05,Viernes,1512,1740,1626
17/05,Lunes,1417,1631,1524
18/05,Martes,1479,1701,1590
19/05,Miércoles,1430,1646,1538
20/05,Jueves,1446,1664,1555
21/05,Viernes,1635,1881,1758
24/05,Lunes,1581,1819,1700
25/05,Martes,1616,1860,1738
26/05,Miércoles,1695,1951,1823
27/05,Jueves,1896,2182,2039
28/05,Viernes,1864,2144,2004
31/05,Lunes,1713,1971,1842
1/06,Martes,1684,1938,1811
2/06,Miércoles,1580,1818,1699
3/06,Jueves,1527,1757,1642
4/06,Viernes,1613,1855,1734
7/06,Lunes,1477,1699,1588
8/06,Martes,1452,1670,1561
9/06,Miércoles,1302,1498,1400
10/06,Jueves,1510,1738,1624
