0,1,2,3,4
Fecha,Día,Min,Máx,Precio
22/06,Martes,438,504,471
23/06,Miércoles,430,494,462
24/06,Jueves,404,464,434
25/06,Viernes,407,469,438
28/06,Lunes,385,443,414
29/06,Martes,377,433,405
30/06,Miércoles,393,453,423
1/07,Jueves,417,479,448
2/07,Viernes,419,482,450
5/07,Lunes,402,462,432
6/07,Martes,381,439,410
7/07,Miércoles,405,467,436
8/07,Jueves,405,467,436
9/07,Viernes,368,424,396
12/07,Lunes,372,428,400
13/07,Martes,360,414,387
14/07,Miércoles,337,387,362
15/07,Jueves,347,399,373
16/07,Viernes,351,403,377
19/07,Lunes,344,396,370
20/07,Martes,365,421,393
21/07,Miércoles,372,428,400
22/07,Jueves,352,404,378
23/07,Viernes,323,371,347
