0,1,2,3,4
Fecha,Día,Min,Máx,Precio
27/09,Lunes,2985,3435,3210
28/09,Martes,2980,3428,3204
29/09,Miércoles,2769,3185,2977
30/09,Jueves,2837,3264,3050
1/10,Viernes,3163,3639,3401
4/10,Lunes,2943,3387,3165
5/10,Martes,2624,3018,2821
6/10,Miércoles,2542,2924,2733
7/10,Jueves,2570,2956,2763
8/10,Viernes,2447,2815,2631
11/10,Lunes,2415,2779,2597
12/10,Martes,2542,2924,2733
13/10,Miércoles,2658,3058,2858
14/10,Jueves,2562,2948,2755
15/10,Viernes,2674,3076,2875
18/10,Lunes,2721,3131,2926
19/10,Martes,2551,2935,2743
20/10,Miércoles,2496,2872,2684
21/10,Jueves,2545,2929,2737
22/10,Viernes,2224,2558,2391
25/10,Lunes,2210,2542,2376
26/10,Martes,2247,2585,2416
27/10,Miércoles,2216,2550,2383
28/10,Jueves,2305,2653,2479
