0,1,2,3,4
Fecha,Día,Min,Máx,Precio
21/04,Miércoles,1941,2233,2087
22/04,Jueves,1877,2159,2018
23/04,Viernes,1793,2063,1928
26/04,Lunes,1728,1988,1858
27/04,Martes,1788,2058,1923
28/04,Miércoles,1892,2176,2034
29/04,Jueves,2034,2340,2187
30/04,Viernes,2022,2326,2174
3/05,Lunes,2038,2344,2191
4/05,Martes,2104,2420,2262
5/05,Miércoles,2089,2403,2246
6/05,Jueves,2214,2548,2381
7/05,Viernes,2058,2368,2213
10/05,Lunes,2063,2373,2218
11/05,Martes,2093,2409,2251
12/05,Miércoles,2164,2490,2327
13/05,Jueves,2037,2343,2190
14/05,Viernes,2210,2542,2376
17/05,Lunes,2265,2607,2436
18/05,Martes,2361,2717,2539
19/05,Miércoles,2394,2754,2574
20/05,Jueves,2578,2966,2772
21/05,Viernes,2537,2919,2728
24/05,Lunes,2558,2943,2750
