0,1,2,3,4
Fecha,Día,Min,Máx,Precio
19/07,Lunes,1716,1974,1845
20/07,Martes,1763,2029,1896
21/07,Miércoles,1682,1936,1809
22/07,Jueves,1599,1839,1719
23/07,Viernes,1621,1865,1743
26/07,Lunes,1594,1834,1714
27/07,Martes,1617,1861,1739
28/07,Miércoles,1476,1698,1587
29/07,Jueves,1472,1694,1583
30/07,Viernes,1556,1790,1673
2/08,Lunes,1471,1693,1582
3/08,Martes,1535,1766,1650
4/08,Miércoles,1586,1824,1705
5/08,Jueves,1621,1865,1743
6/08,Viernes,1502,1728,1615
9/08,Lunes,1579,1817,1698
10/08,Martes,1641,1887,1764
11/08,Miércoles,1724,1984,1854
12/08,Jueves,1867,2149,2008
13/08,Viernes,1889,2173,2031
16/08,Lunes,1720,1978,1849
17/08,Martes,1737,1999,1868
18/08,Miércoles,1820,2094,1957
19/08,Jueves,1812,2084,1948
