0,1,2,3,4
Fecha,Día,Min,Máx,Precio
1/09,Miércoles,3399,3911,3655
2/09,Jueves,3403,3915,3659
3/09,Viernes,3381,3889,3635
6/09,Lunes,3350,3854,3602
7/09,Martes,3547,4081,3814
8/09,Miércoles,3398,3910,3654
9/09,Jueves,3459,3979,3719
10/09,Viernes,3302,3800,3551
13/09,Lunes,3385,3895,3640
14/09,Martes,3401,3913,3657
15/09,Miércoles,3340,3842,3591
16/09,Jueves,3445,3963,3704
17/09,Viernes,3639,4187,3913
20/09,Lunes,3644,4192,3918
21/09,Martes,3487,4011,3749
22/09,Miércoles,3315,3813,3564
23/09,Jueves,3360,3866,3613
24/09,Viernes,3302,3800,3551
27/09,Lunes,3602,4144,3873
28/09,Martes,3469,3991,3730
29/09,Miércoles,3494,4020,3757
30/09,Jueves,3468,3990,3729
1/10,Viernes,3643,4191,3917
4/10,Lunes,3472,3994,3733
