0,1,2,3,4
Fecha,Día,Min,Máx,Precio
28/06,Lunes,1722,1982,1852
29/06,Martes,1568,1804,1686
30/06,Miércoles,1584,1822,1703
1/07,Jueves,1659,1909,1784
2/07,Viernes,1652,1900,1776
5/07,Lunes,1389,1599,1494
6/07,Martes,1438,1654,1546
7/07,Miércoles,1396,1606,1501
8/07,Jueves,1313,1511,1412
9/07,Viernes,1316,1514,1415
12/07,Lunes,1225,1409,1317
13/07,Martes,1206,1388,1297
14/07,Miércoles,1241,1427,1334
15/07,Jueves,1314,1512,1413
16/07,Viernes,1322,1522,1422
19/07,Lunes,1259,1449,1354
20/07,Martes,1192,1372,1282
21/07,Miércoles,1241,1427,1334
22/07,Jueves,1201,1381,1291
23/07,Viernes,1149,1321,1235
26/07,Lunes,1184,1362,1273
27/07,Martes,1157,1331,1244
28/07,Miércoles,1091,1255,1173
29/07,Jueves,1150,1324,1237
