0,1,2,3,4
Fecha,Día,Min,Máx,Precio
20/09,Lunes,3276,3770,3523
21/09,Martes,3448,3966,3707
22/09,Miércoles,3606,4148,3877
23/09,Jueves,3475,3999,3737
24/09,Viernes,3626,4172,3899
27/09,Lunes,3690,4246,3968
28/09,Martes,3459,3979,3719
29/09,Miércoles,3384,3894,3639
30/09,Jueves,3451,3971,3711
1/10,Viernes,3014,3468,3241
4/10,Lunes,2996,3446,3221
5/10,Martes,3046,3504,3275
6/10,Miércoles,3005,3457,3231
7/10,Jueves,3126,3596,3361
8/10,Viernes,3090,3556,3323
11/10,Lunes,3446,3964,3705
12/10,Martes,3666,4218,3942
13/10,Miércoles,3670,4222,3946
14/10,Jueves,3646,4194,3920
15/10,Viernes,3613,4157,3885
18/10,Lunes,3826,4402,4114
19/10,Martes,3666,4218,3942
20/10,Miércoles,3731,4293,4012
21/10,Jueves,3563,4099,3831
