0,1,2,3,4
Fecha,Día,Min,Máx,Precio
27/10,Miércoles,4058,4668,4363
28/10,Jueves,3972,4570,4271
29/10,Viernes,4170,4798,4484
1/11,Lunes,4077,4691,4384
2/11,Martes,3979,4577,4278
3/11,Miércoles,4271,4913,4592
4/11,Jueves,4420,5086,4753
5/11,Viernes,4305,4953,4629
8/11,Lunes,4325,4976,4650
9/11,Martes,4281,4925,4603
10/11,Miércoles,4368,5026,4697
11/11,Jueves,4590,5280,4935
12/11,Viernes,4743,5457,5100
15/11,Lunes,4671,5375,5023
16/11,Martes,4846,5576,5211
17/11,Miércoles,4630,5328,4979
18/11,Jueves,4650,5350,5000
19/11,Viernes,4616,5310,4963
22/11,Lunes,4630,5326,4978
23/11,Martes,4708,5416,5062
24/11,Miércoles,4892,5628,5260
25/11,Jueves,4841,5569,5205
26/11,Viernes,4883,5619,5251
29/11,Lunes,5002,5754,5378
