0,1,2,3,4
Fecha,Día,Min,Máx,Precio
14/09,Martes,2944,3388,3166
15/09,Miércoles,3072,3534,3303
16/09,Jueves,3127,3597,3362
17/09,Viernes,2930,3372,3151
20/09,Lunes,2867,3299,3083
21/09,Martes,2924,3364,3144
22/09,Miércoles,2554,2938,2746
23/09,Jueves,2538,2920,2729
24/09,Viernes,2581,2969,2775
27/09,Lunes,2546,2930,2738
28/09,Martes,2649,3047,2848
29/09,Miércoles,2619,3013,2816
30/09,Jueves,2920,3360,3140
1/10,Viernes,3107,3575,3341
4/10,Lunes,3111,3579,3345
5/10,Martes,3090,3556,3323
6/10,Miércoles,3062,3524,3293
7/10,Jueves,3243,3731,3487
8/10,Viernes,3107,3575,3341
11/10,Lunes,3163,3639,3401
12/10,Martes,3020,3474,3247
13/10,Miércoles,3095,3561,3328
14/10,Jueves,3110,3578,3344
15/10,Viernes,3053,3513,3283
