0,1,2,3,4
Fecha,Día,Min,Máx,Precio
9/06,Miércoles,2307,2655,2481
10/06,Jueves,2378,2736,2557
11/06,Viernes,2323,2673,2498
14/06,Lunes,2190,2520,2355
15/06,Martes,2310,2658,2484
16/06,Miércoles,2373,2731,2552
17/06,Jueves,2309,2657,2483
18/06,Viernes,2620,3014,2817
21/06,Lunes,2744,3158,2951
22/06,Martes,2591,2981,2786
23/06,Miércoles,2281,2625,2453
24/06,Jueves,2164,2490,2327
25/06,Viernes,2309,2657,2483
28/06,Lunes,2360,2716,2538
29/06,Martes,2738,3150,2944
30/06,Miércoles,2504,2880,2692
1/07,Jueves,2360,2716,2538
2/07,Viernes,2074,2386,2230
5/07,Lunes,2356,2710,2533
6/07,Martes,1979,2277,2128
7/07,Miércoles,2039,2347,2193
8/07,Jueves,1866,2146,2006
9/07,Viernes,1837,2113,1975
12/07,Lunes,1640,1886,1763
