0,1,2,3,4
Fecha,Día,Min,Máx,Precio
6/10,Miércoles,3115,3583,3349
7/10,Jueves,3142,3616,3379
8/10,Viernes,3219,3703,3461
11/10,Lunes,3551,4085,3818
12/10,Martes,3737,4299,4018
13/10,Miércoles,3795,4367,4081
14/10,Jueves,3640,4188,3914
15/10,Viernes,3477,4001,3739
18/10,Lunes,3643,4191,3917
19/10,Martes,3636,4184,3910
20/10,Miércoles,3379,3887,3633
21/10,Jueves,3461,3983,3722
22/10,Viernes,3860,4441,4150
25/10,Lunes,3592,4132,3862
26/10,Martes,3201,3683,3442
27/10,Miércoles,3102,3568,3335
28/10,Jueves,3135,3607,3371
29/10,Viernes,2985,3435,3210
1/11,Lunes,2947,3391,3169
2/11,Martes,3102,3568,3335
3/11,Miércoles,3244,3732,3488
4/11,Jueves,3127,3597,3362
5/11,Viernes,3262,3754,3508
8/11,Lunes,3320,3820,3570
