0,1,2,3,4
Fecha,Día,Min,Máx,Precio
23/04,Viernes,2217,2551,2384
26/04,Lunes,2391,2751,2571
27/04,Martes,2307,2655,2481
28/04,Miércoles,2231,2567,2399
29/04,Jueves,2132,2452,2292
30/04,Viernes,2054,2364,2209
3/05,Lunes,2126,2446,2286
4/05,Martes,2249,2587,2418
5/05,Miércoles,2418,2782,2600
6/05,Jueves,2404,2766,2585
7/05,Viernes,2423,2787,2605
10/05,Lunes,2502,2878,2690
11/05,Martes,2484,2858,2671
12/05,Miércoles,2634,3030,2832
13/05,Jueves,2448,2816,2632
14/05,Viernes,2453,2823,2638
17/05,Lunes,2490,2864,2677
18/05,Martes,2573,2961,2767
19/05,Miércoles,2422,2786,2604
20/05,Jueves,2627,3023,2825
21/05,Viernes,2694,3100,2897
24/05,Lunes,2808,3230,3019
25/05,Martes,2846,3274,3060
26/05,Miércoles,3064,3526,3295
