0,1,2,3,4
Fecha,Día,Min,Máx,Precio
30/07,Viernes,2295,2641,2468
2/08,Lunes,2294,2640,2467
3/08,Martes,2368,2724,2546
4/08,Miércoles,2407,2769,2588
5/08,Jueves,2415,2779,2597
6/08,Viernes,2485,2859,2672
9/08,Lunes,2608,3000,2804
10/08,Martes,2647,3045,2846
11/08,Miércoles,2956,3402,3179
12/08,Jueves,2904,3342,3123
13/08,Viernes,2792,3212,3002
16/08,Lunes,2780,3198,2989
17/08,Martes,2815,3239,3027
18/08,Miércoles,2754,3168,2961
19/08,Jueves,2649,3047,2848
20/08,Viernes,2722,3132,2927
23/08,Lunes,2597,2989,2793
24/08,Martes,2468,2840,2654
25/08,Miércoles,2503,2879,2691
26/08,Jueves,2462,2832,2647
27/08,Viernes,2498,2874,2686
30/08,Lunes,2279,2623,2451
31/08,Martes,2274,2616,2445
1/09,Miércoles,2404,2766,2585
