0,1,2,3,4
Fecha,Día,Min,Máx,Precio
17/05,Lunes,3284,3778,3531
18/05,Martes,2932,3374,3153
19/05,Miércoles,3216,3700,3458
20/05,Jueves,3139,3611,3375
21/05,Viernes,2863,3295,3079
24/05,Lunes,3030,3486,3258
25/05,Martes,3047,3505,3276
26/05,Miércoles,3055,3515,3285
27/05,Jueves,3434,3952,3693
28/05,Viernes,3426,3942,3684
31/05,Lunes,3391,3901,3646
1/06,Martes,3692,4248,3970
2/06,Miércoles,3486,4010,3748
3/06,Jueves,4044,4652,4348
4/06,Viernes,4049,4659,4354
7/06,Lunes,4299,4947,4623
8/06,Martes,4326,4978,4652
9/06,Miércoles,4338,4990,4664
10/06,Jueves,4473,5147,4810
11/06,Viernes,4708,5416,5062
14/06,Lunes,5139,5913,5526
15/06,Martes,5378,6188,5783
16/06,Miércoles,5036,5794,5415
17/06,Jueves,4969,5717,5343
