0,1,2,3,4
Fecha,Día,Min,Máx,Precio
17/05,Lunes,3024,3480,3252
18/05,Martes,3317,3817,3567
19/05,Miércoles,3237,3725,3481
20/05,Jueves,2954,3398,3176
21/05,Viernes,3125,3595,3360
24/05,Lunes,3142,3616,3379
25/05,Martes,3151,3625,3388
26/05,Miércoles,3541,4075,3808
27/05,Jueves,3533,4065,3799
28/05,Viernes,3497,4023,3760
31/05,Lunes,3807,4381,4094
1/06,Martes,3594,4136,3865
2/06,Miércoles,4169,4797,4483
3/06,Jueves,4175,4803,4489
4/06,Viernes,4433,5101,4767
7/06,Lunes,4461,5133,4797
8/06,Martes,4473,5147,4810
9/06,Miércoles,4613,5307,4960
10/06,Jueves,4855,5585,5220
11/06,Viernes,5300,6098,5699
14/06,Lunes,5547,6383,5965
15/06,Martes,5195,5977,5586
16/06,Miércoles,5125,5897,5511
17/06,Jueves,5219,6005,5612
