0,1,2,3,4
Fecha,Día,Min,Máx,Precio
3/06,Jueves,2384,2742,2563
4/06,Viernes,2704,3110,2907
7/06,Lunes,2832,3258,3045
8/06,Martes,2674,3076,2875
9/06,Miércoles,2355,2709,2532
10/06,Jueves,2234,2570,2402
11/06,Viernes,2384,2742,2563
14/06,Lunes,2436,2802,2619
15/06,Martes,2825,3251,3038
16/06,Miércoles,2584,2972,2778
17/06,Jueves,2436,2802,2619
18/06,Viernes,2140,2462,2301
21/06,Lunes,2431,2797,2614
22/06,Martes,2042,2350,2196
23/06,Miércoles,2105,2421,2263
24/06,Jueves,1925,2215,2070
25/06,Viernes,1895,2181,2038
28/06,Lunes,1693,1947,1820
29/06,Martes,1856,2136,1996
30/06,Miércoles,1812,2084,1948
1/07,Jueves,1653,1901,1777
2/07,Viernes,1748,2012,1880
5/07,Lunes,1758,2022,1890
6/07,Martes,1762,2028,1895
