0,1,2,3,4
Fecha,Día,Min,Máx,Precio
11/10,Lunes,3036,3494,3265
12/10,Martes,3049,3509,3279
13/10,Miércoles,3026,3482,3254
14/10,Jueves,3036,3492,3264
15/10,Viernes,3087,3551,3319
18/10,Lunes,3208,3690,3449
19/10,Martes,3174,3652,3413
20/10,Miércoles,3202,3684,3443
21/10,Jueves,3279,3773,3526
22/10,Viernes,3617,4161,3889
25/10,Lunes,3806,4378,4092
26/10,Martes,3865,4447,4156
27/10,Miércoles,3707,4265,3986
28/10,Jueves,3541,4075,3808
29/10,Viernes,3710,4268,3989
1/11,Lunes,3703,4261,3982
2/11,Martes,3441,3959,3700
3/11,Miércoles,3526,4056,3791
4/11,Jueves,3931,4523,4227
5/11,Viernes,3659,4209,3934
8/11,Lunes,3261,3751,3506
9/11,Martes,3159,3635,3397
10/11,Miércoles,3194,3674,3434
11/11,Jueves,3041,3499,3270
