0,1,2,3,4
Fecha,Día,Min,Máx,Precio
1/10,Viernes,39097,44983,42040
4/10,Lunes,38053,43781,40917
5/10,Martes,37160,42754,39957
6/10,Miércoles,37578,43234,40406
7/10,Jueves,37469,43109,40289
8/10,Viernes,35761,41145,38453
11/10,Lunes,36837,42383,39610
12/10,Martes,39501,45447,42474
13/10,Miércoles,37401,43031,40216
14/10,Jueves,33979,39095,36537
15/10,Viernes,33231,38233,35732
18/10,Lunes,33946,39056,36501
19/10,Martes,33609,38669,36139
20/10,Miércoles,33343,38363,35853
21/10,Jueves,34066,39194,36630
22/10,Viernes,35709,41085,38397
25/10,Lunes,34854,40100,37477
26/10,Martes,35546,40896,38221
27/10,Miércoles,35793,41181,38487
28/10,Jueves,34609,39819,37214
29/10,Viernes,34848,40094,37471
1/11,Lunes,34281,39441,36861
2/11,Martes,30467,35053,32760
3/11,Miércoles,31000,35666,33333
