0,1,2,3,4
Fecha,Día,Min,Máx,Precio
9/07,Viernes,31181,35875,33528
12/07,Lunes,31673,36441,34057
13/07,Martes,30253,34807,32530
14/07,Miércoles,30782,35416,33099
15/07,Jueves,31579,36333,33956
16/07,Viernes,31827,36619,34223
19/07,Lunes,30453,35037,32745
20/07,Martes,29742,34220,31981
21/07,Miércoles,30956,35616,33286
22/07,Jueves,30784,35418,33101
23/07,Viernes,33044,38018,35531
26/07,Lunes,33792,38878,36335
27/07,Martes,30814,35452,33133
28/07,Miércoles,31699,36471,34085
29/07,Jueves,32827,37769,35298
30/07,Viernes,33726,38804,36265
2/08,Lunes,29980,34494,32237
3/08,Martes,30050,34574,32312
4/08,Miércoles,29814,34302,32058
5/08,Jueves,28032,32252,30142
6/08,Viernes,27841,32033,29937
9/08,Lunes,26582,30584,28583
10/08,Martes,26345,30311,28328
11/08,Miércoles,27361,31479,29420
