0,1,2,3,4
Fecha,Día,Min,Máx,Precio
21/06,Lunes,31311,36025,33668
22/06,Martes,31098,35780,33439
23/06,Miércoles,29692,34162,31927
24/06,Jueves,29428,33858,31643
25/06,Viernes,30562,35162,32862
28/06,Lunes,33562,38614,36088
29/06,Martes,31939,36747,34343
30/06,Miércoles,32504,37397,34950
1/07,Jueves,31901,36703,34302
2/07,Viernes,35693,41067,38380
5/07,Lunes,35508,40854,38181
6/07,Martes,33310,38324,35817
7/07,Miércoles,33555,38607,36081
8/07,Jueves,32341,37209,34775
9/07,Viernes,30405,34983,32694
12/07,Lunes,31734,36512,34123
13/07,Martes,32507,37401,34954
14/07,Miércoles,31976,36790,34383
15/07,Jueves,33434,38467,35950
16/07,Viernes,34456,39642,37049
19/07,Lunes,33415,38445,35930
20/07,Martes,30978,35642,33310
21/07,Miércoles,30353,34923,32638
22/07,Jueves,31063,35739,33401
