0,1,2,3,4
Fecha,Día,Min,Máx,Precio
19/07,Lunes,28763,33093,30928
20/07,Martes,28838,33180,31009
21/07,Miércoles,28519,32813,30666
22/07,Jueves,27566,31716,29641
23/07,Viernes,28169,32409,30289
26/07,Lunes,27927,32131,30029
27/07,Martes,28716,33038,30877
28/07,Miércoles,27864,32058,29961
29/07,Jueves,27574,31724,29649
30/07,Viernes,28009,32225,30117
2/08,Lunes,26753,30781,28767
3/08,Martes,27221,31319,29270
4/08,Miércoles,27926,32130,30028
5/08,Jueves,28146,32384,30265
6/08,Viernes,26931,30985,28958
9/08,Lunes,26302,30262,28282
10/08,Martes,27375,31497,29436
11/08,Miércoles,27223,31321,29272
12/08,Jueves,29222,33620,31421
13/08,Viernes,29883,34381,32132
16/08,Lunes,27249,31351,29300
17/08,Martes,28032,32252,30142
18/08,Miércoles,29030,33400,31215
19/08,Jueves,29825,34315,32070
