0,1,2,3,4
Fecha,Día,Min,Máx,Precio
25/10,Lunes,55004,63284,59144
26/10,Martes,51890,59702,55796
27/10,Miércoles,53295,61317,57306
28/10,Jueves,55202,63512,59357
29/10,Viernes,55677,64059,59868
1/11,Lunes,56274,64746,60510
2/11,Martes,55542,63904,59723
3/11,Miércoles,59724,68714,64219
4/11,Jueves,59717,68707,64212
5/11,Viernes,61167,70375,65771
8/11,Lunes,59573,68541,64057
9/11,Martes,62631,72059,67345
10/11,Miércoles,62336,71720,67028
11/11,Jueves,63526,73088,68307
12/11,Viernes,63685,73273,68479
15/11,Lunes,61900,71218,66559
16/11,Martes,66513,76525,71519
17/11,Miércoles,69529,79995,74762
18/11,Jueves,71024,81716,76370
19/11,Viernes,71861,82679,77270
22/11,Lunes,71125,81833,76479
23/11,Martes,78164,89930,84047
24/11,Miércoles,82457,94869,88663
25/11,Jueves,83434,95994,89714
