0,1,2,3,4
Fecha,Día,Min,Máx,Precio
6/08,Viernes,39137,45029,42083
9/08,Lunes,40717,46847,43782
10/08,Martes,39705,45683,42694
11/08,Miércoles,38994,44864,41929
12/08,Jueves,37552,43204,40378
13/08,Viernes,36854,42402,39628
16/08,Lunes,38842,44690,41766
17/08,Martes,38841,44689,41765
18/08,Miércoles,39372,45298,42335
19/08,Jueves,41710,47988,44849
20/08,Viernes,43960,50578,47269
23/08,Lunes,45344,52170,48757
24/08,Martes,46249,53211,49730
25/08,Miércoles,48141,55389,51765
26/08,Jueves,48380,55664,52022
27/08,Viernes,52191,60047,56119
30/08,Lunes,50409,57997,54203
31/08,Martes,48888,56248,52568
1/09,Miércoles,49292,56712,53002
2/09,Jueves,49519,56973,53246
3/09,Viernes,48806,56154,52480
6/09,Lunes,47378,54510,50944
7/09,Martes,47502,54652,51077
8/09,Miércoles,46975,54047,50511
