0,1,2,3,4
Fecha,Día,Min,Máx,Precio
14/05,Viernes,40162,46208,43185
17/05,Lunes,40797,46939,43868
18/05,Martes,39099,44985,42042
19/05,Miércoles,38668,44490,41579
20/05,Jueves,39726,45706,42716
21/05,Viernes,40381,46459,43420
24/05,Lunes,39638,45606,42622
25/05,Martes,42804,49248,46026
26/05,Miércoles,39846,45844,42845
27/05,Jueves,40250,46310,43280
28/05,Viernes,39401,45333,42367
31/05,Lunes,39459,45399,42429
1/06,Martes,42534,48938,45736
2/06,Miércoles,41519,47769,44644
3/06,Jueves,41381,47611,44496
4/06,Viernes,42155,48501,45328
7/06,Lunes,46396,53380,49888
8/06,Martes,45471,52317,48894
9/06,Miércoles,44533,51237,47885
10/06,Jueves,44068,50702,47385
11/06,Viernes,42361,48737,45549
14/06,Lunes,40339,46411,43375
15/06,Martes,40933,47095,44014
16/06,Miércoles,40515,46613,43564
