0,1,2,3,4
Fecha,Día,Min,Máx,Precio
5/08,Jueves,38441,44227,41334
6/08,Viernes,37486,43128,40307
9/08,Lunes,36814,42356,39585
10/08,Martes,35453,40789,38121
11/08,Miércoles,34794,40032,37413
12/08,Jueves,36671,42191,39431
13/08,Viernes,36670,42190,39430
16/08,Lunes,37171,42767,39969
17/08,Martes,39378,45306,42342
18/08,Miércoles,41502,47750,44626
19/08,Jueves,42808,49252,46030
20/08,Viernes,43663,50235,46949
23/08,Lunes,45449,52291,48870
24/08,Martes,45674,52550,49112
25/08,Miércoles,49271,56689,52980
26/08,Jueves,47589,54753,51171
27/08,Viernes,46153,53101,49627
30/08,Lunes,46533,53539,50036
31/08,Martes,46747,53785,50266
1/09,Miércoles,46075,53011,49543
2/09,Jueves,44726,51460,48093
3/09,Viernes,44844,51594,48219
6/09,Lunes,44347,51023,47685
7/09,Martes,42865,49317,46091
