0,1,2,3,4
Fecha,Día,Min,Máx,Precio
29/09,Miércoles,37166,42760,39963
30/09,Jueves,36293,41757,39025
1/10,Viernes,36701,42225,39463
4/10,Lunes,36595,42103,39349
5/10,Martes,34927,40185,37556
6/10,Miércoles,35978,41394,38686
7/10,Jueves,38579,44387,41483
8/10,Viernes,36529,42027,39278
11/10,Lunes,33186,38182,35684
12/10,Martes,32455,37341,34898
13/10,Miércoles,33154,38144,35649
14/10,Jueves,32825,37767,35296
15/10,Viernes,32566,37468,35017
18/10,Lunes,33272,38280,35776
19/10,Martes,34876,40126,37501
20/10,Miércoles,34041,39165,36603
21/10,Jueves,34717,39943,37330
22/10,Viernes,34959,40221,37590
25/10,Lunes,33803,38891,36347
26/10,Martes,34036,39160,36598
27/10,Miércoles,33482,38522,36002
28/10,Jueves,29757,34237,31997
29/10,Viernes,30278,34836,32557
1/11,Lunes,31401,36129,33765
