0,1,2,3,4
Fecha,Día,Min,Máx,Precio
1/10,Viernes,42999,49473,46236
4/10,Lunes,43509,50059,46784
5/10,Martes,42347,48721,45534
6/10,Miércoles,41352,47578,44465
7/10,Jueves,41817,48111,44964
8/10,Viernes,41696,47972,44834
11/10,Lunes,39796,45786,42791
12/10,Martes,40993,47163,44078
13/10,Miércoles,43956,50574,47265
14/10,Jueves,41619,47885,44752
15/10,Viernes,37812,43504,40658
18/10,Lunes,36979,42545,39762
19/10,Martes,37774,43460,40617
20/10,Miércoles,37400,43030,40215
21/10,Jueves,37104,42690,39897
22/10,Viernes,37908,43614,40761
25/10,Lunes,39736,45718,42727
26/10,Martes,38785,44623,41704
27/10,Miércoles,39555,45509,42532
28/10,Jueves,39830,45826,42828
29/10,Viernes,38512,44310,41411
1/11,Lunes,38778,44616,41697
2/11,Martes,38147,43889,41018
3/11,Miércoles,33903,39007,36455
