0,1,2,3,4
Fecha,Día,Min,Máx,Precio
19/07,Lunes,29824,34314,32069
20/07,Martes,29962,34472,32217
21/07,Miércoles,29530,33976,31753
22/07,Jueves,28666,32982,30824
23/07,Viernes,28742,33068,30905
26/07,Lunes,28424,32702,30563
27/07,Martes,27473,31609,29541
28/07,Miércoles,28074,32300,30187
29/07,Jueves,27832,32022,29927
30/07,Viernes,28618,32926,30772
2/08,Lunes,27769,31949,29859
3/08,Martes,27480,31616,29548
4/08,Miércoles,27913,32115,30014
5/08,Jueves,26661,30675,28668
6/08,Viernes,27127,31211,29169
9/08,Lunes,27829,32019,29924
10/08,Martes,28049,32271,30160
11/08,Miércoles,26837,30877,28857
12/08,Jueves,26210,30156,28183
13/08,Viernes,27280,31386,29333
16/08,Lunes,27128,31212,29170
17/08,Martes,29119,33503,31311
18/08,Miércoles,29778,34260,32019
19/08,Jueves,27153,31241,29197
