0,1,2,3,4
Fecha,Día,Min,Máx,Precio
25/06,Viernes,33147,38137,35642
28/06,Lunes,34327,39495,36911
29/06,Martes,35268,40578,37923
30/06,Miércoles,31351,36071,33711
1/07,Jueves,31424,36154,33789
2/07,Viernes,31176,35870,33523
5/07,Lunes,29313,33725,31519
6/07,Martes,29114,33496,31305
7/07,Miércoles,27797,31981,29889
8/07,Jueves,27549,31697,29623
9/07,Viernes,28611,32917,30764
12/07,Lunes,31419,36149,33784
13/07,Martes,29900,34402,32151
14/07,Miércoles,30429,35009,32719
15/07,Jueves,29864,34360,32112
16/07,Viernes,33415,38445,35930
19/07,Lunes,33241,38245,35743
20/07,Martes,31183,35877,33530
21/07,Miércoles,31413,36141,33777
22/07,Jueves,30276,34834,32555
23/07,Viernes,28464,32748,30606
26/07,Lunes,29708,34180,31944
27/07,Martes,30431,35013,32722
28/07,Miércoles,29934,34440,32187
