0,1,2,3,4
Fecha,Día,Min,Máx,Precio
7/05,Viernes,57743,66435,62089
10/05,Lunes,53751,61843,57797
11/05,Martes,54296,62470,58383
12/05,Miércoles,53151,61153,57152
13/05,Jueves,53229,61243,57236
14/05,Viernes,57379,66017,61698
17/05,Lunes,56010,64442,60226
18/05,Martes,55825,64229,60027
19/05,Miércoles,56870,65431,61150
20/05,Jueves,62590,72012,67301
21/05,Viernes,61343,70577,65960
24/05,Lunes,60077,69121,64599
25/05,Martes,59450,68400,63925
26/05,Miércoles,57147,65749,61448
27/05,Jueves,54420,62612,58516
28/05,Viernes,55222,63534,59378
31/05,Lunes,54658,62886,58772
1/06,Martes,51193,58899,55046
2/06,Miércoles,50061,57597,53829
3/06,Jueves,48622,55942,52282
4/06,Viernes,48830,56180,52505
7/06,Lunes,48385,55669,52027
8/06,Martes,51384,59120,55252
9/06,Miércoles,51251,58967,55109
