0,1,2,3,4
Fecha,Día,Min,Máx,Precio
11/10,Lunes,50632,58254,54443
12/10,Martes,51598,59366,55482
13/10,Miércoles,51728,59516,55622
14/10,Jueves,50279,57847,54063
15/10,Viernes,54026,62158,58092
18/10,Lunes,56475,64977,60726
19/10,Martes,57690,66374,62032
20/10,Miércoles,58370,67156,62763
21/10,Jueves,57773,66469,62121
22/10,Viernes,63489,73047,68268
25/10,Lunes,66976,77058,72017
26/10,Martes,67770,77972,72871
27/10,Miércoles,65959,75889,70924
28/10,Jueves,64411,74107,69259
29/10,Viernes,65134,74940,70037
1/11,Lunes,64947,74723,69835
2/11,Martes,61987,71319,66653
3/11,Miércoles,63852,73464,68658
4/11,Jueves,68468,78776,73622
5/11,Viernes,64828,74588,69708
8/11,Lunes,58897,67763,63330
9/11,Martes,57600,66270,61935
10/11,Miércoles,58838,67696,63267
11/11,Jueves,58255,67025,62640
