0,1,2,3,4
Fecha,Día,Min,Máx,Precio
2/08,Lunes,35713,41089,38401
3/08,Martes,35050,40326,37688
4/08,Miércoles,36941,42501,39721
5/08,Jueves,36940,42500,39720
6/08,Viernes,37444,43080,40262
9/08,Lunes,39666,45638,42652
10/08,Martes,41806,48100,44953
11/08,Miércoles,43122,49614,46368
12/08,Jueves,43982,50604,47293
13/08,Viernes,45782,52674,49228
16/08,Lunes,46009,52935,49472
17/08,Martes,49632,57104,53368
18/08,Miércoles,47938,55154,51546
19/08,Jueves,46492,53490,49991
20/08,Viernes,46875,53931,50403
23/08,Lunes,47091,54179,50635
24/08,Martes,46413,53399,49906
25/08,Miércoles,45055,51837,48446
26/08,Jueves,45173,51973,48573
27/08,Viernes,44673,51397,48035
30/08,Lunes,43179,49679,46429
31/08,Martes,44123,50765,47444
1/09,Miércoles,43743,50329,47036
2/09,Jueves,44979,51749,48364
